Year,Name,Graduates_Male,Graduates_Female,Employed_Male,Employed_Female,Overseas_Employment_Male,Overseas_Employment_Female,Agriculture_Fishery_Male,Agriculture_Fishery_Female,Creative_Activities_Male,Creative_Activities_Female,Entrepreneurship_Male,Entrepreneurship_Female,Freelancer_Male,Freelancer_Female,Uncounted_Male,Uncounted_Female,Others_Male,Others_Female,Employment_Rate,Pre_Employment_Male,Pre_Employment_Female,Campus_Employment_Male,Campus_Employment_Female
2021,중앙대학교 _제2캠퍼스,845,829,449,324,0,1,0,0,9,10,33,30,61,89,96,123,197,252,69.1,5,4,15,15
2021,중앙승가대학교,26,13,0,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,0,0,0,0,0
2021,중원대학교,470,299,263,179,4,3,0,0,0,0,15,4,18,11,33,19,137,83,69.3,39,22,3,2
2021,진주교육대학교,106,222,50,153,0,0,0,0,0,0,0,0,1,2,20,0,35,67,66.9,0,1,0,0
2021,차의과학대학교,194,349,93,207,0,0,0,0,0,0,1,3,9,12,38,40,53,87,69.9,2,5,2,2
2021,창신대학교,139,297,81,171,0,0,0,0,1,2,4,10,2,9,11,12,40,93,67.8,19,21,1,6
2021,청운대학교,775,656,503,366,0,1,0,0,4,6,17,21,51,42,23,17,177,203,72.7,184,73,14,14
2021,청주교육대학교,89,214,55,132,0,0,0,0,0,0,0,1,0,5,6,0,28,76,65,0,3,0,0
2021,청주대학교,"1,430","1,078",804,578,0,0,1,0,1,5,11,11,58,54,118,81,437,349,66,26,16,59,54
2021,초당대학교,320,357,168,238,0,0,0,1,0,0,9,13,10,3,46,29,87,73,73.4,26,38,5,3
2021,총신대학교,155,244,25,122,0,0,0,0,0,0,0,1,4,14,98,41,28,66,63.8,1,37,0,1
2021,추계예술대학교,58,192,17,52,0,0,0,0,1,0,0,7,10,30,9,21,21,82,53.2,1,3,2,2
2021,춘천교육대학교,87,253,37,151,0,0,0,0,0,0,0,0,0,8,20,0,30,94,61.3,0,0,0,0
2021,충남대학교,"1,941","1,777",999,826,1,0,0,0,0,0,11,10,35,62,311,279,584,600,62.1,5,15,7,14
2021,충북대학교,"1,822","1,418",860,649,3,1,0,0,0,0,10,6,45,44,281,161,623,557,57.8,24,15,3,12
2021,칼빈대학교,44,53,2,28,0,0,0,0,0,0,0,0,0,0,41,16,1,9,75,0,18,0,0
2021,평택대학교,392,365,186,188,0,1,0,0,2,4,6,3,20,18,48,23,130,128,62.4,5,4,5,4
2021,포항공과대학교,245,71,37,21,0,0,0,0,0,0,2,0,3,0,187,43,16,7,73.3,0,0,1,0
2021,한경국립대학교,711,496,467,251,0,0,0,0,0,0,11,3,23,23,29,33,181,186,67.9,55,22,1,4
2021,한국공학대학교,"1,117",440,726,253,2,3,0,0,0,0,8,1,18,11,75,35,288,137,70.6,137,28,2,4
2021,한국과학기술원,558,149,122,45,0,0,0,0,0,0,3,2,15,1,353,81,65,20,68.9,0,0,0,0
2021,한국교원대학교,221,368,116,177,0,0,0,0,0,0,0,0,9,11,13,10,83,170,55.3,1,1,0,0
2021,한국국제대학교,268,260,143,161,0,0,0,0,0,0,5,5,9,5,21,9,90,80,65.9,22,23,0,0
